Record_Time,Temperature,Speed,Vibration,Current
2024-07-29 23:35:26.000,77.5,1372.9,4.3,9.7
2024-07-29 23:36:26.000,74.3,1364.0,4.7,9.9
2024-07-29 23:37:26.000,78.2,961.3,4.4,10.1
2024-07-29 23:38:26.000,82.6,1401.0,5.1,11.9
2024-07-29 23:39:26.000,73.8,1719.8,6.2,8.5
2024-07-29 23:40:26.000,73.8,1117.7,4.2,8.3
2024-07-29 23:41:26.000,82.9,1814.5,6.0,12.5
2024-07-29 23:42:26.000,78.8,1646.3,4.2,9.1
2024-07-29 23:43:26.000,72.7,1279.7,4.2,7.5
2024-07-29 23:44:26.000,77.7,1457.5,5.8,9.0
2024-07-29 23:45:26.000,72.7,1979.5,5.9,9.3
2024-07-29 23:46:26.000,72.7,1720.1,5.9,13.1
2024-07-29 23:47:26.000,76.2,1502.6,3.7,11.8
2024-07-29 23:48:26.000,65.4,1428.7,4.5,12.3
2024-07-29 23:49:26.000,66.4,1523.0,5.8,11.6
2024-07-29 23:50:26.000,72.2,1346.5,5.0,11.9
2024-07-29 23:51:26.000,69.9,868.6,3.9,8.6
2024-07-29 23:52:26.000,76.6,2112.7,5.5,9.6
2024-07-29 23:53:26.000,70.5,1546.6,4.3,8.0
2024-07-29 23:54:26.000,67.9,1619.4,6.8,9.6
2024-07-29 23:55:26.000,82.3,1482.6,6.5,11.4
2024-07-29 23:56:26.000,73.9,1279.5,5.6,10.3
2024-07-29 23:57:26.000,75.3,1444.2,6.4,12.6
2024-07-29 23:58:26.000,67.9,1020.2,5.1,7.7
2024-07-29 23:59:26.000,72.3,2183.1,5.8,11.0
2024-07-30 00:00:26.000,75.6,1129.6,6.5,7.5
2024-07-30 00:01:26.000,69.2,1190.4,5.2,10.2
2024-07-30 00:02:26.000,76.9,1367.9,4.7,11.5
2024-07-30 00:03:26.000,72.0,1886.4,3.3,9.6
2024-07-30 00:04:26.000,73.5,1504.4,4.9,11.1
2024-07-30 00:05:26.000,72.0,1129.2,5.8,8.1
2024-07-30 00:06:26.000,84.3,1876.3,5.9,6.7
2024-07-30 00:07:26.000,74.9,1719.3,5.5,11.1
2024-07-30 00:08:26.000,69.7,1661.5,4.5,13.5
2024-07-30 00:09:26.000,79.1,1714.7,3.0,8.0
2024-07-30 00:10:26.000,68.9,2218.3,4.5,12.4
2024-07-30 00:11:26.000,76.0,2155.5,4.7,10.1
2024-07-30 00:12:26.000,65.2,1294.0,4.7,7.3
2024-07-30 00:13:26.000,68.4,1987.2,5.6,7.7
2024-07-30 00:14:26.000,76.0,1615.0,7.0,10.0
2024-07-30 00:15:26.000,78.7,1649.7,5.1,9.2
2024-07-30 00:16:26.000,75.9,992.3,4.8,7.4
2024-07-30 00:17:26.000,74.4,1448.9,4.7,6.6
2024-07-30 00:18:26.000,73.5,1256.2,5.1,8.3
2024-07-30 00:19:26.000,67.6,1748.4,4.2,10.4
2024-07-30 00:20:26.000,71.4,1821.3,5.1,10.0
2024-07-30 00:21:26.000,72.7,877.7,5.5,9.0
2024-07-30 00:22:26.000,80.3,1493.4,5.2,10.4
2024-07-30 00:23:26.000,76.7,1836.6,5.5,12.1
2024-07-30 00:24:26.000,66.2,1444.0,5.4,10.8
2024-07-30 00:25:26.000,76.6,1718.7,3.2,9.8
2024-07-30 00:26:26.000,73.1,1605.3,5.6,11.9
2024-07-30 00:27:26.000,71.6,1602.5,4.3,8.1
2024-07-30 00:28:26.000,78.1,1418.6,3.9,9.6
